id,Цена
747,2275250.4406117946
962,1765625.7860105378
1105,2271328.226400051
795,4424934.546470013
390,2615864.1921092644
1302,1485771.2124047359
1448,2528168.6409413316
1388,3221493.77054786
126,1020795.2310962379
1605,2914240.0211686473
870,2322953.9399758466
701,1314075.36531658
1239,3871706.1271627955
1201,5335849.8180873
685,1955035.391643819
427,2146338.1091701295
168,587752.8589561242
1181,4093499.9200433833
1428,2251516.0559978457
347,2602665.5570725095
1385,1555130.908757763
220,1567173.4232356132
125,3107179.8746833154
197,1941676.0383309694
1108,2616355.866535904
1166,3363382.049203126
871,4382436.60066045
1544,2213923.3679882847
513,2946673.4513297523
1431,2711961.856925308
194,3180667.962839102
1401,2283445.0739444555
509,2399333.6170475027
381,4874170.781004742
361,2275900.8691753224
1254,2604123.000427608
609,870353.462087549
349,3834881.5694059385
1067,3037618.4636838473
970,3258260.4514100594
1062,2174142.4941353165
301,3946750.1581196818
593,4507704.9800484255
1491,2231960.1685230974
652,2209113.453870297
1262,2262173.799538132
1459,3365170.5228232564
1089,1429399.580575614
436,3448962.330924509
259,2215131.1910287016
1566,3028303.1404058784
499,2254466.392161846
943,5120081.917850139
316,2873169.3244509217
1123,2085400.7409565342
1185,1414058.1909380883
158,672904.7266277189
817,1243470.429812294
1380,4388923.934312446
829,2952443.485532723
1326,2982444.4228218147
1390,2992381.548546057
1514,2644461.049879419
1444,2938728.2426148546
763,2231767.5460943882
680,2932617.9833605005
337,1696268.7826051898
20,4238273.360349676
413,2377376.0830299756
515,2047709.4972872396
18,4314363.324168649
1513,2142199.761589404
544,3053426.4551871163
136,3688630.329424328
93,1297637.0183404675
1581,2169076.47472967
1571,2270538.562716061
1356,1679299.6264615154
1387,2350284.274966174
1432,2650130.078966279
1226,2427125.543368571
600,2347019.955542281
846,521092.2696281923
872,2167614.093056818
1183,932954.2035941121
1599,4137932.2353145783
1129,919736.1434762257
1402,2616689.0132146585
1242,2428892.38632216
890,6005711.0935572125
1046,3072150.5805504974
638,2646090.7323052767
134,3508076.3179518953
794,2930317.0303205396
333,2490838.6805097107
1408,737275.1482051259
1120,1973956.0997869088
1072,1533146.2417789835
692,996328.9219594526
1261,3512200.878425428
1469,2207979.486143858
510,2846674.606597117
786,2043994.8566987952
1165,2985978.8842519587
204,967233.8679247543
602,4234473.783636486
269,4238014.560663224
1306,3050382.0578681
551,1792767.684363048
113,1691135.0779210157
1142,3220273.9531965666
514,2985989.662670576
1282,2963420.7882997184
952,3219071.284645569
1265,2821905.53708285
1503,3068771.28716208
1389,4203695.596498339
956,3070636.3038528524
497,2735829.198568293
589,4243913.440926086
1498,4279277.253739813
232,1556252.357503506
1564,2687159.8946432476
82,2323853.2639749646
312,2988174.090331035
1393,2564150.1592991343
1222,3075088.7274425062
758,615448.0888091798
1361,1146948.7850909391
1295,2342485.514211376
659,1404869.7199626162
236,1892081.169299772
569,1851677.941353873
1204,2814236.532686353
1309,3920908.91511955
1126,2334803.4534288603
743,3642641.703720191
1360,1491297.3973757988
566,4588616.960933215
688,4024647.2780425455
4,2466816.4820999503
1407,1915444.0151475377
506,6189181.277158473
1347,3829725.4905217765
1308,4657596.056285458
1474,2038225.6971634096
605,3927239.399465854
571,3541283.593790486
1029,2659278.4366600616
1169,2203611.608222266
1131,2992253.1410608753
938,2178770.845478346
555,3162328.7289570426
1313,3322125.868169526
157,754792.5467733471
1249,3006940.0508141913
529,2507395.0151219973
139,4065897.232734752
1395,2564150.1592991343
1396,3374398.8099118196
1050,3229262.6287256572
325,2842562.789023202
995,579968.610593155
348,3257311.9021763606
738,5042443.315898454
1284,3741696.3937723213
1040,3400957.9591441415
644,2208753.307524666
1496,5195026.510567412
201,2265968.8908198895
784,1414434.5452958904
346,1482836.4318216895
1480,2020359.4204805896
920,2808084.6299342928
428,1203078.727504416
334,3241561.999296493
503,3973537.1998888096
1117,2342484.221301837
698,1719112.5514795012
1320,4926808.0731563065
34,2396777.5096023385
1219,4175378.77587847
108,2032549.2818387707
438,1609557.9938328504
247,3220707.848290909
651,2483737.70038982
1141,3874504.9653074984
576,4832094.037474486
471,2173139.873276273
592,3854677.6821506443
162,838007.1933459735
72,5051015.563620653
293,941272.5899757082
855,2933735.397834051
898,6063347.367570708
718,4245012.111126728
277,3144738.141270483
876,2875445.140664514
478,3292368.3556916504
1589,2209084.0987578975
1267,1752192.9279244312
378,2091697.1790069174
1404,1301190.486987739
53,2703911.2536339043
84,3180015.311721319
714,2114140.2072475944
669,1870766.3689270332
525,2701223.7846219447
444,2559008.5089791203
43,2794215.5260936706
857,851680.3830017326
550,2871504.107727048
843,3358850.404064998
869,1830760.7593198658
1271,2841936.4436211805
211,2194310.057566922
1475,3308622.526702947
1381,2043229.7529266644
276,3942479.1218904187
552,2992491.880557307
41,5709767.573414101
487,3288387.617821142
785,2315376.965620617
153,865577.6043196898
1430,4217431.706082128
1238,2050066.5620455756
418,1924595.0398705425
