id,Цена
747,1970754.9019490026
962,1648605.1901757647
1105,2136843.7922266307
795,4318816.766969174
390,2526556.735425708
1302,1593621.391102978
1448,2551154.0141336215
1388,3091751.964704705
126,1083201.708290718
1605,2562862.8247441035
870,2452726.122875218
701,1332988.2843311965
1239,3726896.8804601445
1201,5333938.90688871
685,1802849.6744660984
427,2214098.465745951
168,799496.6757766538
1181,4258792.8073415365
1428,2302483.363144943
347,2809674.461493634
1385,1775935.1272697807
220,1620099.316173663
125,3098137.924396326
197,1741303.1973105294
1108,2552534.441534279
1166,3173463.9002276566
871,4864637.678079155
1544,2296815.8827520674
513,2827145.890632021
1431,2622416.050571449
194,3215648.788862383
1401,2322332.8781480724
509,2324086.5659537436
381,5357836.996402512
361,2331049.750631854
1254,2457748.488843202
609,890749.0170104294
349,3433766.0711522335
1067,3020909.1217421745
970,3069936.0141458665
1062,2396804.067959298
301,4052554.091720509
593,4514695.0067821825
1491,2391901.7805229686
652,1882352.1412881683
1262,2095724.455723687
1459,3645610.553408028
1089,1461305.0910974503
436,3227876.210518932
259,2321559.5199257485
1566,2919711.4606364034
499,2122046.2536382084
943,4966197.972977862
316,2844827.726858527
1123,1875301.193667132
1185,1388340.549575313
158,929781.137229918
817,1235157.4168910119
1380,4462289.930455532
829,2916977.4468848505
1326,2945192.4085739474
1390,2856225.4899069765
1514,2853660.028626206
1444,2981094.8673597556
763,2435009.2678428786
680,2790313.382879124
337,1614641.6755453937
20,4294574.9968722705
413,2316222.6061072852
515,2213087.257294469
18,3966808.3905308153
1513,2070694.017388146
544,2973507.1666021603
136,3508158.6739257905
93,1458639.8384663397
1581,2263859.81027997
1571,2621714.3670101105
1356,1581461.338915673
1387,2647912.284013294
1432,2683056.0053412644
1226,2449239.0108460537
600,2459140.1337920497
846,817880.9864709525
872,2370063.378503282
1183,977422.7562624016
1599,4534554.267575161
1129,985495.2725523594
1402,2683205.722662598
1242,2668040.3415780286
890,6064662.113402434
1046,3074898.3307493995
638,2876552.573483246
134,3359361.6095682313
794,2788227.5610896437
333,2549672.576203826
1408,806130.8630003247
1120,2128439.444779241
1072,1499422.2372545344
692,909261.4666824702
1261,3562468.5172930495
1469,2392569.2619344275
510,3073053.107526774
786,2063771.4979608697
1165,2901327.8168575875
204,1063176.285225739
602,4240213.241977109
269,4399001.910938641
1306,2691836.532022655
551,1719428.4429649608
113,1806596.641202481
1142,3199054.8211830966
514,2778103.552137866
1282,2707948.317673485
952,3011773.764222586
1265,2796343.1905709035
1503,3014363.032880786
1389,3833856.8208854008
956,2937056.933208127
497,2750233.2190732914
589,4120890.5810397505
1498,4748633.486292823
232,1571019.2569729045
1564,2808780.2659989204
82,2212315.6379715893
