PassengerId,Survived
486,2
426,2
780,4
248,3
184,3
645,2
70,2
256,3
890,1
278,1
405,2
878,2
782,1
48,2
160,0
552,1
778,2
623,2
442,2
484,6
888,1
183,0
408,3
722,2
109,2
171,4
806,2
130,6
555,2
366,2
518,2
810,1
537,4
180,2
86,2
272,2
711,1
511,2
397,2
657,2
275,2
92,2
721,3
291,1
195,1
847,0
808,2
691,1
7,4
813,1
118,1
456,2
756,3
531,3
381,1
571,6
111,4
315,4
137,3
512,2
854,3
173,2
5,2
506,1
144,2
93,4
268,2
563,1
734,1
611,5
667,1
632,6
592,4
471,2
135,1
45,2
732,2
832,3
642,1
112,2
596,2
767,1
538,1
359,2
503,2
230,2
526,2
588,4
752,2
97,4
447,3
404,2
786,2
264,1
126,2
590,2
106,2
85,1
523,2
498,2
357,3
524,4
340,4
125,4
271,1
302,2
527,6
316,2
873,1
189,2
668,2
323,2
414,1
101,2
834,2
204,6
33,2
699,4
66,2
803,3
827,2
559,4
620,1
65,1
249,4
107,2
203,2
576,2
216,1
269,4
505,1
532,2
342,3
240,1
589,2
853,2
105,2
373,2
829,2
141,3
746,4
236,2
491,2
314,2
868,1
709,1
213,2
628,1
318,6
544,1
712,1
309,1
326,1
569,2
113,2
710,2
243,1
294,2
883,2
548,1
520,2
339,6
356,2
719,2
475,2
582,4
608,1
369,2
694,2
29,2
754,2
306,3
696,6
287,2
444,1
560,2
800,2
156,4
644,2
222,1
419,1
72,0
409,2
597,1
749,1
354,2
688,2
6,2
212,1
463,4
627,6
748,1
71,1
392,2
481,0
319,3
817,2
864,0
514,4
90,2
791,2
157,2
233,6
328,1
214,1
583,6
547,1
386,1
870,2
797,4
533,2
288,2
717,1
139,2
74,2
554,2
626,4
261,2
775,4
400,1
673,6
454,4
586,3
399,1
683,2
223,6
697,6
351,2
615,2
771,2
253,4
423,2
44,3
262,0
321,2
413,1
39,2
743,3
79,3
336,2
292,1
689,2
790,1
436,3
343,1
500,2
123,1
2,1
543,0
437,3
98,3
522,2
378,3
174,2
17,0
773,6
705,2
579,2
289,1
165,0
297,2
296,1
860,2
715,6
303,2
69,0
246,4
452,2
661,4
122,2
158,2
153,6
655,2
37,2
517,1
595,1
637,2
345,1
839,2
379,2
845,2
209,2
146,1
420,3
466,2
188,4
600,4
283,2
159,2
350,6
575,2
713,4
488,4
779,2
338,1
235,1
819,6
406,1
330,3
432,2
277,6
451,4
654,2
502,2
828,3
238,3
128,2
674,1
701,1
649,2
285,1
24,1
281,6
593,6
633,1
121,1
631,4
347,1
698,2
793,0
20,2
22,1
422,2
202,0
88,2
260,4
394,1
32,1
263,4
570,2
221,2
117,6
838,2
245,2
662,6
170,2
477,1
376,1
364,2
430,2
815,2
63,4
207,2
891,2
47,2
164,2
624,2
201,2
205,2
388,1
300,4
613,2
453,1
152,1
411,2
377,2
885,2
131,2
455,2
727,2
764,3
110,2
629,2
368,2
181,0
859,3
693,2
273,4
464,6
772,6
441,4
305,2
215,2
565,2
499,3
76,2
60,0
211,2
889,3
372,2
415,6
15,2
718,1
133,6
607,2
396,2
787,2
312,3
490,2
176,2
679,5
609,3
234,0
435,4
136,1
38,2
155,2
393,2
513,1
557,4
10,2
551,3
149,4
36,4
161,2
371,1
755,4
138,1
634,1
172,0
884,1
151,6
507,3
470,2
124,1
284,2
329,2
564,2
31,1
739,2
35,1
142,2
104,2
578,1
568,5
729,1
91,2
56,1
669,6
738,1
784,3
428,1
3,2
367,4
735,1
591,2
799,2
716,2
228,2
200,1
714,2
108,2
208,2
794,1
798,2
16,6
418,3
726,2
332,4
553,2
821,4
646,4
792,1
744,2
879,2
846,6
310,1
660,4
851,0
757,2
825,0
462,2
841,2
826,2
449,2
40,2
439,4
788,0
27,2
856,2
598,6
407,6
14,5
190,2
259,1
68,2
227,1
1,2
120,0
822,2
247,2
805,2
561,2
25,0
804,2
877,2
535,2
567,2
210,1
265,2
348,2
872,4
521,1
410,2
492,2
18,1
504,6
497,4
766,4
612,2
614,2
795,2
760,1
197,2
880,4
182,1
700,6
132,2
193,2
28,3
733,1
229,1
501,2
383,2
630,2
546,4
487,1
768,2
301,2
57,1
886,5
114,2
723,1
274,3
635,0
652,3
509,2
731,1
843,1
643,0
375,0
177,2
438,3
461,4
